Page,Date,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170115,116,78,106.48,18,27.78%,18.10%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170114,79,54,83.62,13,46.15%,22.78%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170113,68,43,51.73,17,17.65%,17.65%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170112,59,41,40.09,17,23.53%,23.73%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170111,79,57,54.27,24,20.83%,16.46%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170110,84,60,69.72,25,44.00%,22.62%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170109,129,80,117.06,34,22.86%,20.93%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170108,72,45,67.81,13,61.54%,20.83%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170107,42,32,49.97,9,22.22%,19.05%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170106,63,41,52.51,8,50.00%,15.87%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170105,74,63,58.69,23,52.17%,29.73%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170104,65,49,64.88,24,37.50%,23.08%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170103,69,50,43.09,13,53.85%,21.74%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170102,45,34,33.77,17,47.06%,31.11%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170101,51,34,70.18,7,14.29%,11.76%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20161231,32,24,57.95,8,0.00%,31.25%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20161230,43,29,48.54,9,22.22%,13.95%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20161229,47,30,26.26,8,37.50%,19.15%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20161228,42,30,21.63,8,25.00%,16.67%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20161227,48,36,32.97,12,25.00%,22.92%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20161226,42,30,31.91,13,46.15%,21.43%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20161225,34,25,27.39,7,57.14%,32.35%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20161224,28,21,102.04,9,22.22%,10.71%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20161223,41,25,100.26,10,30.00%,14.63%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20161222,74,49,43.89,15,26.67%,17.57%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20161221,37,28,71.44,9,44.44%,13.51%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20161220,73,53,57.11,17,17.65%,16.44%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20161219,58,43,112.84,8,37.50%,13.79%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20161218,43,30,61.85,15,26.67%,23.26%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20161217,35,27,30.33,8,25.00%,22.86%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20161216,63,45,54.67,14,28.57%,14.29%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20161215,52,43,32.05,12,41.67%,19.23%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20161214,66,46,48.48,23,21.74%,18.18%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20161213,74,56,65.04,21,47.62%,27.03%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20161212,47,35,34.66,12,16.67%,12.77%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20161211,46,34,45.20,14,21.43%,23.91%,0.00
