Page,Date,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20170811,18,15,29.07,5,60.00%,16.67%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20170810,27,24,35.92,4,25.00%,7.41%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20170809,18,14,40.00,3,0.00%,11.11%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20170808,24,20,30.25,8,25.00%,16.67%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20170807,26,22,31.43,5,20.00%,11.54%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20170806,23,19,20.85,6,16.67%,13.04%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20170805,22,15,41.64,2,0.00%,0.00%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20170804,21,15,23.05,1,0.00%,9.52%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20170803,22,16,36.07,5,40.00%,36.36%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20170802,23,20,18.65,6,66.67%,26.09%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20170801,38,32,40.13,6,66.67%,18.42%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20170731,28,23,23.27,5,0.00%,21.43%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20170730,9,9,36.44,1,0.00%,0.00%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20170729,25,20,29.83,6,50.00%,28.00%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20170728,22,19,103.32,4,25.00%,13.64%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20170727,31,20,41.00,7,57.14%,19.35%,0.00
